area,year,Economically Inactive,percent
hackney,2010,41900.0,24.1
hackney,2011,48600.0,27.2
hackney,2012,54800.0,30.0
hackney,2013,55200.0,29.8
hackney,2014,48600.0,25.6
hackney,2015,51700.0,26.7
hackney,2016,49800.0,25.2
hackney,2017,50400.0,25.2
hackney,2018,52000.0,25.7
hammersmith and fulham,2004,31900.0,25.3
hammersmith and fulham,2005,31000.0,24.4
hammersmith and fulham,2006,31500.0,24.3
hammersmith and fulham,2007,30700.0,23.6
hammersmith and fulham,2008,30700.0,23.6
hammersmith and fulham,2009,35000.0,26.3
hammersmith and fulham,2010,38200.0,28.5
hammersmith and fulham,2011,37800.0,27.9
hammersmith and fulham,2012,32100.0,24.0
hammersmith and fulham,2013,32900.0,24.7
hammersmith and fulham,2014,25700.0,19.5
hammersmith and fulham,2015,24800.0,19.0
hammersmith and fulham,2016,27900.0,21.4
hammersmith and fulham,2017,27100.0,20.9
hammersmith and fulham,2018,24000.0,18.9
haringey,2004,55600.0,35.2
haringey,2005,45500.0,28.5
haringey,2006,43600.0,26.6
haringey,2007,48600.0,29.3
haringey,2008,55800.0,32.5
haringey,2009,56300.0,32.2
haringey,2010,56300.0,31.8
haringey,2011,47700.0,26.3
haringey,2012,50100.0,27.6
haringey,2013,46200.0,25.2
haringey,2014,47500.0,25.6
haringey,2015,45400.0,24.2
haringey,2016,44700.0,23.3
haringey,2017,50100.0,26.4
haringey,2018,44500.0,22.6
harrow,2004,33700.0,23.5
harrow,2005,35800.0,24.5
harrow,2006,32100.0,21.7
harrow,2007,34100.0,23.0
harrow,2008,39400.0,26.5
harrow,2009,32000.0,21.1
harrow,2010,34200.0,22.0
harrow,2011,33600.0,21.4
harrow,2012,34600.0,22.1
harrow,2013,38700.0,24.7
harrow,2014,36600.0,23.4
harrow,2015,35300.0,22.5
harrow,2016,36700.0,23.2
harrow,2017,28600.0,18.3
harrow,2018,30300.0,19.7
havering,2004,31300.0,22.1
havering,2005,32200.0,22.4
havering,2006,33000.0,22.8
havering,2007,30200.0,20.8
havering,2008,27700.0,18.9
havering,2009,33300.0,22.3
havering,2010,40100.0,26.6
havering,2011,29900.0,19.8
havering,2012,36200.0,23.8
havering,2013,34700.0,22.9
havering,2014,29000.0,18.7
havering,2015,30100.0,19.4
havering,2016,27600.0,17.4
havering,2017,32400.0,20.4
havering,2018,27300.0,17.0
hillingdon,2004,35700.0,21.9
hillingdon,2005,39900.0,24.3
hillingdon,2006,37600.0,22.6
hillingdon,2007,52200.0,30.9
hillingdon,2008,39700.0,23.2
hillingdon,2009,37500.0,21.7
hillingdon,2010,44300.0,25.3
hillingdon,2011,43600.0,23.8
hillingdon,2012,41900.0,22.6
hillingdon,2013,42900.0,22.8
hillingdon,2014,43700.0,22.9
hillingdon,2015,43300.0,22.2
hillingdon,2016,41000.0,21.1
hillingdon,2017,42100.0,21.5
hillingdon,2018,43000.0,21.6
hounslow,2004,36000.0,24.0
hounslow,2005,34200.0,22.4
hounslow,2006,32700.0,20.7
hounslow,2007,43600.0,26.9
hounslow,2008,40800.0,24.9
hounslow,2009,37900.0,22.5
hounslow,2010,38400.0,22.4
hounslow,2011,38500.0,22.0
hounslow,2012,38700.0,22.0
hounslow,2013,35000.0,19.7
hounslow,2014,36700.0,20.5
hounslow,2015,40000.0,22.4
hounslow,2016,40300.0,22.4
hounslow,2017,33000.0,18.6
hounslow,2018,33000.0,18.2
islington,2004,40200.0,30.7
islington,2005,43500.0,32.8
islington,2006,37700.0,28.1
islington,2007,35700.0,26.0
islington,2008,38100.0,27.1
islington,2009,38800.0,26.7
